Код товара,Остаток
01065,0.0
024507,0.0
02323,0.0
02273,0.0
01484,0.0
01317,0.0
00800,0.0
023986,0.0
025317,0.0
01773,0.0
024980,0.0
01587,0.0
024438,0.0
01685,0.0
00781,0.0
01589,0.0
024635,0.0
02271,0.0
01555,0.0
01715,0.0
025278,0.0
02151,1.0
024585,0.0
025515,0.0
00872,0.0
01827,0.0
024804,0.0
01469,0.0
01572,0.0
01579,0.0
024594,0.0
00149,0.0
00801,0.0
00047,0.0
01592,0.0
00110,0.0
024073,0.0
00060,2.0
024589,0.0
00027,0.0
02048,0.0
024998,0.0
02011,0.0
02240,0.0
024982,0.0
025272,0.0
01063,0.0
024429,0.0
01632,0.0
01755,0.0
024588,0.0
01470,0.0
01779,0.0
01997,0.0
00331,0.0
01578,0.0
02101,4.0
01588,0.0
02327,0.0
00178,0.0
024807,0.0
024367,0.0
024224,0.0
024842,0.0
00782,0.0
02374,0.0
025423,0.0
024461,0.0
00686,0.0
024606,0.0
025476,0.0
024532,0.0
00311,0.0
01451,0.0
01714,0.0
024184,0.0
00092,0.0
01455,0.0
00053,0.0
024397,0.0
024976,1.0
01660,0.0
00032,0.0
024393,1.0
023985,0.0
024775,0.0
02143,0.0
01795,0.0
025294,0.0
024308,0.0
01657,0.0
023751,0.0
024791,0.0
024727,0.0
02324,0.0
01577,0.0
01573,0.0
02346,0.0
024979,0.0
01790,0.0
024788,0.0
024485,2.0
024974,1.0
024767,0.0
024157,0.0
01523,0.0
024142,0.0
023772,0.0
025296,0.0
02161,0.0
02005,0.0
023779,0.0
025424,0.0
023792,0.0
01650,0.0
023784,0.0
024803,0.0
02312,0.0
024981,0.0
023780,0.0
024927,0.0
01128,0.0
024068,0.0
023787,0.0
024928,0.0
024413,0.0
024636,0.0
023781,0.0
00320,0.0
023793,0.0
024543,0.0
023790,0.0
024066,0.0
01116,0.0
00234,0.0
023788,0.0
024603,0.0
024561,0.0
023823,0.0
023782,0.0
024808,0.0
023778,0.0
024399,0.0
01500,4.0
02187,0.0
023791,0.0
02188,0.0
00702,3.0
02189,0.0
024253,2.0
02190,0.0
00252,0.0
02192,0.0
023789,0.0
025517,0.0
023783,0.0
025477,0.0
024387,0.0
02185,0.0
576,0.0
024138,0.0
024918,0.0
01089,0.0
1148,0.0
02336,0.0
1216,0.0
01554,0.0
024840,0.0
01609,0.0
573,0.0
01461,0.0
660,0.0
01570,0.0
80,0.0
024309,0.0
76,1.0
01603,0.0
399,0.0
01659,0.0
690,0.0
024971,0.0
024962,0.0
01462,0.0
02344,0.0
01982,0.0
024481,0.0
01728,0.0
024051,0.0
024699,0.0
786,0.0
00790,0.0
637,0.0
01526,0.0
024359,0.0
01463,0.0
01519,0.0
025518,1.0
240,0.0
01729,0.0
44,0.0
023948,0.0
74,0.0
01189,0.0
152,0.0
024430,0.0
95,0.0
01464,0.0
21,0.0
01925,8.0
46,0.0
025107,0.0
785,0.0
02136,0.0
552,0.0
01633,0.0
189,0.0
024462,0.0
024013,0.0
01319,0.0
024041,0.0
024897,0.0
01599,2.0
02047,3.0
1154,0.0
024484,0.0
473,0.0
024533,0.0
366,0.0
023963,0.0
220,3.0
01996,0.0
230,7.0
01055,0.0
1213,0.0
01601,0.0
911,0.0
024394,0.0
01606,0.0
01730,0.0
02098,0.0
024049,0.0
1432,0.0
024876,0.0
875,1.0
024116,0.0
01793,0.0
01648,0.0
764,0.0
01459,0.0
024952,0.0
024186,0.0
02165,0.0
01467,0.0
1212,0.0
02299,0.0
024003,0.0
00111,0.0
024871,0.0
00109,0.0
024004,0.0
00036,0.0
024502,0.0
024895,0.0
024086,0.0
024493,0.0
02002,0.0
02289,1.0
024005,0.0
00224,0.0
024014,0.0
02339,0.0
42,0.0
02347,0.0
700,0.0
01649,0.0
024510,0.0
025000,0.0
02353,0.0
01075,0.0
024498,0.0
00231,0.0
025237,0.0
025434,0.0
025048,0.0
02102,0.0
025245,0.0
02170,0.0
025246,0.0
02328,0.0
023767,0.0
01598,0.0
024161,0.0
02311,2.0
025094,0.0
023774,0.0
025095,0.0
023775,0.0
025114,0.0
023768,0.0
025116,0.0
01520,0.0
025126,0.0
024410,0.0
025127,0.0
01746,0.0
025128,0.0
01346,0.0
025129,0.0
024841,0.0
025202,0.0
02291,0.0
025098,0.0
024101,0.0
024183,0.0
02218,0.0
025099,0.0
02254,0.0
024162,0.0
024052,0.0
025100,0.0
01502,0.0
025230,0.0
023827,0.0
00218,2.0
024482,0.0
023753,0.0
024425,0.0
01444,0.0
02284,0.0
023754,0.0
024922,0.0
023755,0.0
01889,0.0
02375,0.0
02269,0.0
00093,0.0
024605,0.0
00144,0.0
023835,0.0
025251,0.0
01594,0.0
025109,0.0
024055,0.0
025260,0.0
024856,0.0
024905,0.0
023813,0.0
02175,0.0
023807,0.0
02177,0.0
023987,0.0
02179,0.0
024260,0.0
02181,0.0
01454,0.0
02183,0.0
01628,0.0
024361,0.0
01575,0.0
01697,0.0
01313,0.0
024966,0.0
02314,0.0
024967,0.0
02331,0.0
024968,0.0
01005,0.0
02194,0.0
01355,0.0
01694,0.0
01630,0.0
02191,0.0
01745,0.0
02193,0.0
024150,0.0
02186,0.0
02100,0.0
024930,0.0
01902,0.0
024931,0.0
01584,0.0
024932,0.0
023810,0.0
01896,0.0
023814,0.0
024924,0.0
01850,0.0
024925,0.0
01576,0.0
024926,0.0
01456,0.0
01651,0.0
023836,0.0
025175,0.0
02332,0.0
025176,0.0
024398,0.0
025177,0.0
023808,0.0
025178,0.0
01656,0.0
025179,0.0
024501,0.0
025180,0.0
024499,0.0
02196,0.0
02355,0.0
024936,0.0
01600,0.0
02201,0.0
024853,0.0
024935,0.0
025511,0.0
025183,0.0
023811,0.0
025184,0.0
00617,0.0
025186,0.0
023834,0.0
025549,0.0
023815,0.0
024515,0.0
01748,0.0
024516,2.0
02295,0.0
024518,0.0
023992,0.0
024283,0.0
00141,0.0
02060,0.0
01568,0.0
025406,0.0
023806,0.0
024355,0.0
024531,0.0
01998,0.0
01468,0.0
024061,0.0
023809,0.0
024760,4.0
024613,0.0
024282,0.0
024508,0.0
02222,0.0
023812,0.0
024289,0.0
02345,0.0
024233,0.0
02290,0.0
01688,0.0
01935,0.0
024284,0.0
024137,0.0
024286,0.0
01782,0.0
01944,0.0
023989,0.0
024287,0.0
024460,0.0
01898,0.0
01784,0.0
024762,4.0
02166,0.0
024761,1.0
025514,0.0
024764,2.0
02296,0.0
024763,2.0
02294,0.0
023824,0.0
024160,0.0
01710,0.0
024562,0.0
025370,0.0
024159,0.0
025371,1.0
02293,0.0
02243,0.0
023933,0.0
02242,0.0
024538,0.0
01059,5.0
025508,0.0
00839,0.0
01636,0.0
025523,0.0
025509,0.0
024889,0.0
025510,0.0
01068,0.0
00045,0.0
01923,0.0
00121,0.0
025524,0.0
00133,0.0
024560,0.0
00079,6.0
025201,0.0
00103,0.0
024403,0.0
00131,0.0
01069,0.0
00143,0.0
025522,0.0
025505,0.0
00104,1.0
023953,4.0
024105,0.0
025507,0.0
025528,0.0
024106,0.0
00017,0.0
024890,0.0
024325,0.0
01166,0.0
025429,0.0
024340,0.0
00795,0.0
00857,0.0
024331,0.0
01677,0.0
01137,0.0
01602,0.0
01738,0.0
024609,0.0
01604,0.0
02258,0.0
01563,0.0
024999,0.0
00750,0.0
01627,0.0
02129,0.0
01673,0.0
01622,0.0
01450,0.0
00865,0.0
024596,0.0
02046,0.0
01675,0.0
025373,0.0
01525,0.0
01736,0.0
024794,1.0
01754,0.0
00751,0.0
00835,0.0
01798,0.0
00305,0.0
01070,0.0
02157,0.0
00441,0.0
024992,0.0
024638,2.0
024495,0.0
01138,10.0
024483,0.0
01676,0.0
024717,0.0
024875,0.0
01681,0.0
01616,0.0
01647,0.0
01894,0.0
00858,0.0
02300,0.0
01679,0.0
024610,0.0
02349,0.0
02261,0.0
01151,0.0
024365,0.0
024156,0.0
024592,0.0
01995,0.0
02260,0.0
01562,0.0
025519,1.0
01737,0.0
00989,1.0
01751,0.0
024154,0.0
01619,0.0
024691,0.0
01806,0.0
024069,0.0
02350,0.0
01678,0.0
025372,1.0
02220,0.0
01895,0.0
00841,0.0
024185,0.0
024031,0.0
024090,0.0
02288,10.0
024570,0.0
025525,0.0
01465,0.0
01680,0.0
024370,0.0
01686,11.0
024040,0.0
01907,0.0
01458,0.0
025004,0.0
00859,0.0
01717,0.0
024577,0.0
00847,0.0
01752,0.0
024155,0.0
01119,0.0
024607,0.0
024039,0.0
01034,0.0
01749,0.0
01682,0.0
024569,0.0
01753,0.0
00805,0.0
025526,0.0
01701,0.0
02206,0.0
01624,0.0
00137,0.0
02207,0.0
00860,0.0
02169,0.0
02208,0.0
01560,0.0
01926,0.0
02209,0.0
01067,0.0
01460,0.0
02210,0.0
025410,0.0
01608,0.0
02211,0.0
01621,2.0
01558,0.0
02212,0.0
025527,0.0
01750,0.0
02213,0.0
025336,0.0
01503,0.0
02214,0.0
01150,0.0
01658,0.0
02215,0.0
023844,0.0
01791,0.0
01007,0.0
024134,0.0
02272,0.0
02144,0.0
024135,0.0
024204,0.0
02146,0.0
024036,0.0
01524,0.0
024509,0.0
024038,0.0
01943,0.0
01008,0.0
024037,0.0
02357,0.0
01585,0.0
02239,0.0
01540,0.0
02147,0.0
023998,0.0
01999,0.0
00008,0.0
024032,0.0
024095,0.0
00120,0.0
023939,0.0
02012,0.0
02145,0.0
024140,0.0
023996,0.0
00206,0.0
024153,0.0
024190,0.0
02022,0.0
01781,0.0
1378,0.0
00203,0.0
024033,0.0
01792,0.0
02019,0.0
024012,0.0
01537,0.0
01631,0.0
024152,0.0
00300,0.0
01725,0.0
023940,0.0
01667,0.0
01480,0.0
024034,0.0
025212,0.0
02049,0.0
024117,0.0
024203,0.0
024059,0.0
023938,0.0
02292,0.0
025516,0.0
024130,0.0
02342,0.0
025325,0.0
024168,0.0
023994,0.0
024500,0.0
024170,0.0
02364,0.0
01885,0.0
024172,0.0
02277,0.0
01723,0.0
00943,0.0
01535,0.0
00214,0.0
024075,12.0
1083,0.0
00746,0.0
02330,0.0
024188,0.0
02017,0.0
024171,0.0
01611,0.0
024402,0.0
01809,0.0
02351,0.0
01521,0.0
024173,0.0
01489,0.0
02168,0.0
01477,0.0
00814,0.0
02137,0.0
01541,0.0
025513,0.0
024180,0.0
01490,0.0
023993,0.0
02062,0.0
024179,0.0
01295,0.0
023981,0.0
025002,0.0
024221,0.0
01528,0.0
023997,0.0
00197,0.0
024167,0.0
024581,0.0
024604,0.0
024985,0.0
024177,0.0
01582,0.0
1437,0.0
025289,2.0
01637,0.0
01951,0.0
01532,0.0
02010,0.0
024174,0.0
024582,0.0
01939,0.0
01556,2.0
024176,0.0
01423,0.0
024424,0.0
01048,0.0
01368,0.0
01248,0.0
024406,0.0
00752,0.0
02329,0.0
01300,0.0
02259,0.0
025472,0.0
024074,0.0
01741,0.0
024428,0.0
02348,0.0
01810,0.0
01252,0.0
01769,0.0
02003,0.0
024206,0.0
00845,0.0
02203,0.0
025473,0.0
024175,0.0
01250,0.0
01993,0.0
024433,0.0
01634,0.0
01294,0.0
01538,0.0
00803,0.0
01112,0.0
024576,0.0
024368,0.0
02026,0.0
024973,3.0
01826,0.0
01613,0.0
023828,0.0
024169,0.0
01251,0.0
024053,0.0
025326,0.0
024076,0.0
00892,0.0
02283,0.0
01646,0.0
01366,0.0
024583,0.0
023982,0.0
01727,0.0
024598,0.0
01113,0.0
02278,0.0
00774,0.0
024390,3.0
01733,0.0
1142,0.0
024854,0.0
024599,0.0
01732,0.0
01536,0.0
01720,0.0
01126,0.0
01816,0.0
02356,0.0
